lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
0.5,0.1,path,boundary_pair,log,reciprocal,0.05,0.00982733783191044,-0.059990621422669296,True,0.04759518450433686,True,True,0.9609888701986633,True,32,28,4,0,0.875,0.0006389545053938975,0.002780909250827499,0.008054516923197141,-0.004185975013266084,0.008054516923197141
0.5,0.1,path,boundary_pair,log,quadratic_exponential,0.05,0.010382065018694205,-0.026500914236945262,True,0.0856394587938116,True,True,0.9550357212413948,True,32,31,1,0,0.96875,0.0021958393926667817,0.0030655032502465394,0.006820443322865669,-0.0017462887265262336,0.006820443322865669
0.5,0.5,path,boundary_pair,log,exponential,0.05,0.0005262597178513031,-0.18631932360053446,True,0.00014857997671651062,True,True,0.7969080252095307,True,32,28,4,0,0.875,2.850785783249871e-06,0.00015345961043527714,0.0005096855111898543,-0.00021715132534214858,0.0005096855111898543
0.5,0.5,path,boundary_pair,log,reciprocal,0.05,0.0005016176115274327,-0.2576524147132228,True,8.625949126406888e-05,True,True,0.7950307460370228,True,32,27,5,0,0.84375,1.023178625906391e-06,0.00014610363667924228,0.00048779391342746586,-0.00020959088851410404,0.00048779391342746586
0.5,0.5,path,boundary_pair,log,quadratic_exponential,0.05,0.00038570936254267695,-0.06845429587180253,True,0.00031038711247812173,True,True,0.783454142336998,True,32,30,2,0,0.9375,1.681866192437443e-05,0.00011552852893868492,0.00035889788737614793,-0.0001393166146216736,0.00035889788737614793
1.0,0.02,path,boundary_pair,log,exponential,0.05,0.0639383149688281,-0.011181291196791825,True,2.4733857124156247,True,True,0.969824156337438,True,32,32,0,0,1.0,0.012933367315005107,0.011966427796803113,0.01846797891389844,0.0022110345450068875,0.01846797891389844
1.0,0.02,path,boundary_pair,log,reciprocal,0.05,0.052493320183539915,-0.013281632653403135,True,1.835070677344129,True,True,0.9662353596122734,True,32,32,0,0,1.0,0.011127155082521167,0.011035702934195243,0.018253699936524002,5.9928109229730187e-05,0.018253699936524002
1.0,0.02,path,boundary_pair,log,quadratic_exponential,0.05,0.05750523990982287,-0.011070044186042436,True,2.3914974359975023,True,True,0.9711685018999238,True,32,32,0,0,1.0,0.010757819403794631,0.009095386108911313,0.016610235211500984,5.390875076897311e-05,0.016610235211500984
1.0,0.1,path,boundary_pair,log,exponential,0.05,0.021585115986397375,-0.029772055827596643,True,0.18749020781132128,True,True,0.9644044565943359,True,32,31,1,0,0.96875,0.005800966647418013,0.006557717329436514,0.011979301617423792,-0.00020238749533584358,0.011979301617423792
1.0,0.1,path,boundary_pair,log,reciprocal,0.05,0.015802986864922174,-0.048234146504119106,True,0.10345384924246037,True,True,0.9471507216414166,True,32,30,2,0,0.9375,0.002321621899404246,0.004583967272076125,0.011261891016020613,-0.003891380627943773,0.011261891016020613
