beta,noise_strength,k,mean_terminal_occupancy,argmax_frequency,mean_residence
0.5,0.03,4,0.08381145658827814,0.138,1.0394393301598215
0.5,0.03,6,0.08472976100543474,0.022,1.0415329270114024
0.5,0.03,8,0.08877562873776086,0.006,1.071875572143024
0.5,0.03,10,0.0972616702298956,0.008666666666666666,1.1204573829567845
0.5,0.03,12,0.11235472632491675,0.5093333333333333,1.2631728324460196
0.5,0.03,14,0.0983378561084559,0.020666666666666667,1.1364328893455344
0.5,0.03,16,0.08970722817653468,0.01,1.0756955990891472
0.5,0.03,18,0.08624820104599729,0.014,1.054943300834768
0.5,0.03,20,0.08579735183401177,0.020666666666666667,1.0659666038858087
0.5,0.03,22,0.0863284620755424,0.05266666666666667,1.0679760172724229
0.5,0.03,24,0.08664765787317173,0.198,1.0625075448552683
0.5,0.06,4,0.08465909284293147,0.13466666666666666,1.061742600107889
0.5,0.06,6,0.08531492337989276,0.028666666666666667,1.0423360698887962
0.5,0.06,8,0.08872720655572176,0.013333333333333334,1.0539041922241383
0.5,0.06,10,0.09672173790856504,0.02,1.1166464168463874
0.5,0.06,12,0.11188590535049511,0.48333333333333334,1.266436196325943
0.5,0.06,14,0.09790928269525517,0.03133333333333333,1.1338603869454924
0.5,0.06,16,0.08948534035593002,0.012666666666666666,1.0668963049871028
0.5,0.06,18,0.0859312044744392,0.015333333333333332,1.050152930613821
0.5,0.06,20,0.08549995546289191,0.02266666666666667,1.055140322432792
0.5,0.06,22,0.08663865069398438,0.05333333333333334,1.0719329716675183
0.5,0.06,24,0.08722670027989328,0.18466666666666667,1.080951607960118
0.5,0.1,4,0.08309441993260798,0.11733333333333333,1.0217623776239315
0.5,0.1,6,0.08417625315779129,0.044,1.0398232469452051
0.5,0.1,8,0.08807687017085922,0.021333333333333333,1.057861902341089
0.5,0.1,10,0.09677653680988722,0.034,1.1281325449427968
0.5,0.1,12,0.1121185146591349,0.4046666666666667,1.2687451050092244
0.5,0.1,14,0.09825014447662693,0.052,1.1367589318041234
0.5,0.1,16,0.08977723244085475,0.028,1.0669787947248361
0.5,0.1,18,0.08655808843463161,0.02266666666666667,1.0501926197953213
0.5,0.1,20,0.08607210669695403,0.02666666666666667,1.062218272002153
0.5,0.1,22,0.087077417198319,0.06066666666666667,1.0755732922331165
0.5,0.1,24,0.08802241602233296,0.18866666666666668,1.0919529125782033
0.5,0.15,4,0.08447191329712535,0.15066666666666667,1.054397799621981
0.5,0.15,6,0.08487778771095707,0.04133333333333333,1.0450469748090592
0.5,0.15,8,0.08775010074041484,0.028,1.0530145739470984
0.5,0.15,10,0.09654855558073512,0.04066666666666666,1.1101309432976922
0.5,0.15,12,0.11202474557732146,0.3413333333333333,1.2629521955290777
0.5,0.15,14,0.09812472376362966,0.056666666666666664,1.1259153413144085
0.5,0.15,16,0.0892850781893563,0.028666666666666667,1.063131016505079
0.5,0.15,18,0.08553326588250303,0.029333333333333333,1.0518808582330437
0.5,0.15,20,0.08624848052088235,0.042,1.0608412698679763
0.5,0.15,22,0.08721209869650182,0.064,1.0786817171358136
0.5,0.15,24,0.08792325004057298,0.17733333333333334,1.0940073097387735
1.0,0.0,4,0.07784003646290505,0.05266666666666667,0.9949153778892293
1.0,0.0,6,0.07922601908721716,0.0,1.002612704746406
1.0,0.0,8,0.08626826434369597,0.0,1.0440958038984174
1.0,0.0,10,0.10339054544585272,0.0,1.1689622269698259
1.0,0.0,12,0.13787233252194175,0.81,1.482806576958595
1.0,0.0,14,0.10485433092805875,0.0,1.1746698938054463
1.0,0.0,16,0.08714623062664055,0.0006666666666666666,1.0377831451179254
1.0,0.0,18,0.080535384290086,0.0006666666666666666,1.0061247614866349
1.0,0.0,20,0.07984440641153741,0.0026666666666666666,1.0128451818298783
1.0,0.0,22,0.08112591058149353,0.004,1.0353907664859765
1.0,0.0,24,0.08189653930057159,0.12933333333333333,1.0397935608116675
1.0,0.03,4,0.07723400045321628,0.05,0.9848851247060135
1.0,0.03,6,0.07882037302148441,0.002,0.991943355437868
1.0,0.03,8,0.08607480636327121,0.0,1.0403453313090294
1.0,0.03,10,0.10340847063813853,0.0,1.1724841754648125
1.0,0.03,12,0.1379178757822297,0.816,1.4824487824057668
1.0,0.03,14,0.10511714165505183,0.0006666666666666666,1.178801531251889
1.0,0.03,16,0.08757855024261081,0.0,1.0574147486275174
1.0,0.03,18,0.08100872307255066,0.0006666666666666666,1.0166877731871187
1.0,0.03,20,0.08012984891051612,0.004666666666666667,1.0129528370077427
1.0,0.03,22,0.08108683595431065,0.011333333333333334,1.0287180453626823
1.0,0.03,24,0.08162337390661983,0.11466666666666667,1.0333182952395534
1.0,0.06,4,0.07856636500382527,0.05,1.0102510209163318
1.0,0.06,6,0.07993465800706746,0.01,1.01166594617397
1.0,0.06,8,0.08685414121954928,0.0013333333333333333,1.051208644708685
1.0,0.06,10,0.10394143931704058,0.0013333333333333333,1.1751494961307125
1.0,0.06,12,0.1385296992648632,0.792,1.48756399100951
1.0,0.06,14,0.1050032049155264,0.0026666666666666666,1.1786999400565432
1.0,0.06,16,0.08692196657039107,0.002,1.0402514209824778
1.0,0.06,18,0.08013444939508498,0.0033333333333333335,0.9963003943533493
1.0,0.06,20,0.0788852946105979,0.005333333333333333,0.9939640995079856
1.0,0.06,22,0.08020453584161868,0.024666666666666667,1.0223893044069086
1.0,0.06,24,0.08102424585443567,0.10733333333333334,1.0325557417535296
1.0,0.1,4,0.07847828195126443,0.056666666666666664,1.0038285020021314
1.0,0.1,6,0.07968012556569586,0.017333333333333333,1.0078927042135732
1.0,0.1,8,0.08647184625565137,0.004,1.0446764809648112
