time,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24
25.86,0.043938768154977416,0.04335340980861574,0.04318251028965406,0.043371989329267106,0.0437085284875739,0.04308183166283377,0.04345504495427033,0.04376651198095054,0.04377915000611604,0.04372603276587051,0.04337096177975967,0.04308974610541646,0.04361577330996036,0.043749016744717775,0.043596478570022336,0.04333516429838549,0.04308642457317772,0.0432315904248935,0.043934480062677736,0.04312756259238625,0.04387682756839229,0.042914035469167416,0.04370816106091357
25.88,0.04394142137003468,0.043354667034475554,0.04318122082355675,0.04335232519876053,0.04370853070207243,0.04308146216555567,0.04346313726772041,0.04375576787152655,0.04376346974192516,0.043725605412719915,0.043374443917785326,0.04309299527252838,0.043621412911389164,0.04375197767295325,0.043601157533328806,0.04331504667292959,0.04308883294763515,0.043223516767297354,0.04393748467802739,0.04314415787874433,0.04388085145560248,0.042922447982979915,0.0437180667204513
25.900000000000002,0.04394406595245207,0.0433632926165077,0.043188148798894044,0.04332465693839327,0.04370566295583793,0.043087389587534025,0.043473217762272816,0.04373489060535189,0.04374651504792429,0.04371686497846342,0.04337563578165362,0.04310294927775462,0.043626565074457016,0.043748811859501684,0.043612835282804706,0.04329478031329079,0.04309824700266314,0.043217302807076446,0.04394045184703842,0.04316137027262516,0.0438760781453132,0.042925616731759264,0.04373465036043029
25.92,0.04394680170489086,0.04337758342118734,0.04318546605355394,0.043305836568883295,0.04370386013953704,0.04309538099051261,0.043480996404466864,0.043712507178642515,0.04372713318304084,0.043705544566099666,0.043381593739929294,0.04311327625881614,0.04363311686984327,0.04374345189046111,0.04362353334806264,0.043285868021476756,0.04310275557743289,0.043209837845110996,0.04394348372892936,0.04317480699503554,0.04387010595747373,0.04293356452955663,0.04374349502705674
25.94,0.04394817985999141,0.043396569197477704,0.0431840046563994,0.04329292809752413,0.04369561787283763,0.04310798235914519,0.043483568972345864,0.043693188103223424,0.04371221794506132,0.04369859025280544,0.04338937895372476,0.04311986366153283,0.04363978965424164,0.04373862077867392,0.04363205581528239,0.04328138515421198,0.043105673184135704,0.0431989201351943,0.04394513382804057,0.043187786077697375,0.043862770319281805,0.04293584872638749,0.043749926394783825
25.96,0.043947618072426906,0.04341497125594728,0.04318223672378584,0.04327452799531668,0.043685215152855,0.04311718467703379,0.04347737022897504,0.04367119117436444,0.043702172217894096,0.04368776647673248,0.04340170751246155,0.04313346144806672,0.0436421419204658,0.04373746413790446,0.04363615267741721,0.04328096145456001,0.043114534764084604,0.04318796167572445,0.04394565659705208,0.04319314790837121,0.04386728177981779,0.0429392829011804,0.04375999124756216
25.98,0.04394179492258355,0.04343060485655263,0.043183615592384414,0.043255183616480716,0.043685191359794595,0.04313316595315697,0.04347856194911403,0.0436390611744719,0.043690484900522325,0.04367391942479883,0.04340338879713448,0.04314417211672752,0.043656924271647614,0.04373713010946945,0.04364074955965031,0.04328607232070621,0.04312653623665073,0.043176795224959555,0.04394695739324806,0.04319680901034743,0.043861705879925,0.04294003664605599,0.043771138683617636
26.0,0.04393783821808708,0.043444264656942906,0.04318828686268673,0.04324028805557131,0.0436822712015371,0.043149826570635146,0.04347387521021314,0.04360331000058549,0.04368220985655814,0.04366408682968739,0.0434079999170749,0.04315147637932493,0.043674739956677075,0.04374017295244268,0.04364754002328055,0.043295361052814944,0.043122904801549324,0.04316336112986079,0.04394727966943538,0.043200737345993494,0.04385751600248551,0.042938778271143306,0.043785875035412807
26.02,0.043937238742794336,0.04345896699685072,0.043189684313045255,0.04322695082172011,0.04367385507637622,0.04316540940112889,0.043469847291112584,0.04356887399287399,0.04367144896593625,0.04365823680774488,0.04341717030833876,0.0431669243455229,0.04367949668419999,0.043743171375179496,0.04364920297335397,0.04330452060697346,0.04311861783575355,0.043149227065384356,0.04394849447520222,0.04320845383338285,0.04385195251535765,0.042943086398895235,0.04379916917287228
26.04,0.04392712151436795,0.0434718505766351,0.043188502722971804,0.043219178867209745,0.04366602975854489,0.04317912338672144,0.04347133633199756,0.043539035029693536,0.04365538105303493,0.043653092928967484,0.04342440601990132,0.04317970346966032,0.04367883587143614,0.04374533531160039,0.04365482842632199,0.043314873084769764,0.0431169954626185,0.04313352752350616,0.04394766635885948,0.04322446599766012,0.04385123470230774,0.04294688927238367,0.043810586328829906
26.060000000000002,0.04391311661271314,0.04347680244868948,0.04318444449511951,0.04321373417583748,0.04366458260054385,0.04318957176216523,0.043466571766951935,0.04350640208496253,0.04364248862385929,0.04364469099826747,0.043438122840761643,0.043190138931546794,0.04367882597940029,0.043740275070770405,0.04366906488543836,0.0433165080418196,0.043119346867964675,0.04313152564409256,0.04394729575310984,0.04324478445356677,0.04383848399780894,0.04296176624615397,0.04382145571845629
26.080000000000002,0.0438992796366598,0.04348297970923138,0.04318475928528811,0.04321184603684567,0.043660740226644006,0.043194909730429124,0.0434625228779146,0.04347806905982163,0.04362130626854925,0.04363262428870872,0.04344855117781597,0.04319948530982506,0.04367715154107128,0.043731785885588695,0.0436798797672923,0.04332613810203573,0.043119470432910735,0.043135147838696666,0.04394595203656045,0.04326661270430788,0.04383420696784371,0.04297614811393936,0.04383043300201991
26.1,0.043890741223360445,0.04349130726053982,0.04318534713191536,0.043213378098615585,0.0436610352281751,0.043201243820675216,0.04345574015166864,0.043453462705753794,0.043600415123981245,0.04362075302657596,0.04345871604285227,0.04320534342478602,0.04367603559771279,0.04371986170543777,0.0436863787347238,0.043341732845494425,0.04311838482954329,0.0431422362865608,0.04394306906023531,0.04328385311223298,0.04383348452371927,0.04298602339842037,0.04383145666701978
26.12,0.04387389726817949,0.04350348975792868,0.04318853483259582,0.04320969518955512,0.043660669177701325,0.04320350255078413,0.04344566324457472,0.04342417668043456,0.04358861353174698,0.0436082007482015,0.043475623314119326,0.043210977819599004,0.043672009581721856,0.043708655124463286,0.04370012182246683,0.043357593992036675,0.043114182566150495,0.043149287558107347,0.043939596146162316,0.04330204552361322,0.0438370773618792,0.04299569056202113,0.043830695645956735
26.14,0.04385921575725361,0.043517726533168016,0.043184866297381476,0.04320589471343623,0.04364891495781004,0.043205272587189925,0.04343866479870844,0.0433957210876055,0.04357802285741059,0.04359823795142448,0.04348387174051118,0.04321745667539632,0.04367183355559158,0.043710885305841975,0.04371373946175612,0.04337223994132704,0.0431132608036758,0.04315860372882855,0.043936251974287674,0.043314261742259684,0.04384214709245378,0.0430088422809622,0.04382406815571983
26.16,0.043843540127041385,0.04352702066281496,0.04317769926017127,0.043198688551691115,0.043640534216696156,0.0432043318900852,0.0434318199440346,0.043367204714507855,0.04357468926335526,0.04358333045204806,0.04349714661671797,0.043227299972111284,0.04366948635421531,0.04371704938689584,0.04372554289539072,0.043391534312659304,0.04310946198796907,0.04316451560015957,0.043931503534443354,0.04332167930762471,0.04384512531155702,0.043028057119833485,0.04382273851797643
26.18,0.04382948302095648,0.043535154758970344,0.0431674176328227,0.043196773234418506,0.04364546848115909,0.04320085965990963,0.04342591909057852,0.04334674986932644,0.04356545316584053,0.04356226658142862,0.04351282950713461,0.043229979101753316,0.04366404344746425,0.04371510475106568,0.04373810908065047,0.04340915384599615,0.04311206729282981,0.04316697391885277,0.04392715899301231,0.043330978239932656,0.043842687414570806,0.04304956455539829,0.04382580435592795
