k,defect_D,initial_transient_probability,expected_residence_time,expected_throughflow,long_time_transient_occupancy,commitment_hazard,final_absorption_probability,transition_boundary_footprint,absorption_boundary_footprint,total_boundary_footprint,maximum_induced_transition,maximum_induced_absorption,absorption_statistics_preservation_error,causal_effect_on_target,relative_causal_effect
26,5.190595419276104,0.0,0.6088944705144764,2.633412863668889,2.3152988601369952e-23,3.101030967670024e-06,1.8882006091084337e-06,1.2439871991250775,2.355501379601597e-06,1.2439871991273075,1.0379597942218646,2.1516204971006254e-06,1.454409936269675e-15,1.8131459139147932e-05,3.7753999378360194e-05
27,5.596326588388768,0.0,0.6037194742472418,2.6141800649529254,1.0846929138347024e-23,1.377502791021366e-06,8.316252607695274e-07,1.2472510630425466,1.0469606280459242e-06,1.247251063042986,1.0426425824277001,9.57240659925926e-07,2.1337539732146102e-15,7.997196204367896e-06,1.6652059727307677e-05
28,6.004803125099459,0.0,0.5990391766154193,2.596825051738066,5.051712367202249e-24,6.085472100680757e-07,3.6454361965079067e-07,1.2503054605445576,4.6278350868042674e-07,1.2503054605446433,1.0470062672684441,4.234912593681976e-07,3.113668978592367e-15,3.5098011472167734e-06,7.308238642751455e-06
29,6.415832310539258,0.0,0.5947769075008307,2.5810479681720446,2.3397440377484047e-24,2.674723303050074e-07,1.59086365460853e-07,1.2531699115234078,2.0351412001843717e-07,1.2531699115234245,1.051082548127808,1.8638372173809911e-07,1.0207716240922752e-15,1.5332503345288906e-06,3.19259094000278e-06
30,6.829241032246454,0.0,0.5908746343655455,2.566624561456783,1.0780214327433288e-24,1.1700289516123878e-07,6.913404289810722e-08,1.2558615148949228,8.90700701153707e-08,1.255861514894926,1.0548989819580439,8.163311236095472e-08,9.973177736178165e-16,6.668929823372416e-07,1.3886294008313443e-06
31,7.244873211660474,0.0,0.587286350940813,2.5533785637251007,4.941941109747443e-25,5.095456333539402e-08,2.99249195650261e-08,1.258395354976723,3.8808435671110354e-08,1.2583953549767237,1.058479675762068,3.5592528834902054e-08,8.358287293259339e-16,2.888739070172619e-07,6.015040059520939e-07
32,7.662587640090765,0.0,0.5839744257330817,2.5411666391549215,2.254114891864508e-25,2.209840565847393e-08,1.2904903754023994e-08,1.260784808264656,1.683841024816459e-08,1.260784808264656,1.061845827713759,1.5452947718355582e-08,4.653081136871999e-16,1.246128517595757e-07,2.5947352012662125e-07
33,8.082256147816919,0.0,0.5809074288424783,2.529869563268722,1.0225816522299553e-25,9.54644131924958e-09,5.5455986813608696e-09,1.263041785906345,7.277274361986671e-09,1.263041785906345,1.0650161612230893,6.682484934087174e-09,1.5901996070038199e-15,5.346896669866652e-08,1.1133507347704189e-07
34,8.503762046577139,0.0,0.5780587329904692,2.5193866317134312,4.608579259118015e-26,4.108905333415536e-09,2.375188611011966e-09,1.2651769315139734,3.13351074561214e-09,1.2651769315139734,1.068007279585153,2.8790066131096647e-09,2.639870312280891e-15,2.2647943076492538e-08,4.71583904124342e-08
35,8.926998797890246,0.0,0.5754055465652418,2.5096318470162444,2.0576870860814875e-26,1.7624116876866978e-09,1.0141014604263344e-09,1.267199785810969,1.3445643490442082e-09,1.267199785810969,1.070833959487317,1.2360046771707423e-09,1.5733324561634409e-15,9.053749028264946e-09,1.885205335994857e-08
36,9.351868869016453,0.5,0.5729282062750207,1.252463281004916,9.043911946019966e-27,7.534768429160544e-10,4.316881360816606e-10,0.6538547338981682,3.221309507293564e-10,0.6538547338981682,0.6538547338981682,3.221309507293564e-10,1.560799155693069e-15,,
