lambda,k,defect_D,selection_probability,ensemble_mean_defect,selection_entropy
2.0,13,0.32113973864262707,0.15047096838920546,0.5066356589559883,2.2649769550961354
2.0,14,0.6541305282174936,0.07730731522730488,0.5066356589559883,2.2649769550961354
2.0,15,0.9973585549629369,0.03891316136653191,0.5066356589559883,2.2649769550961354
2.0,16,1.3494925949539192,0.0192414046992712,0.5066356589559883,2.2649769550961354
2.0,17,1.7094554601025802,0.009366492766009829,0.5066356589559883,2.2649769550961354
2.0,18,2.076350349110163,0.0044967231542654825,0.5066356589559883,2.2649769550961354
2.0,19,2.449427773023684,0.0021322848317258617,0.5066356589559883,2.2649769550961354
2.0,20,2.8280529934969065,0.0009999436563915259,0.5066356589559883,2.2649769550961354
2.0,21,3.2116844962570177,0.0004642559090270482,0.5066356589559883,2.2649769550961354
2.0,22,3.5998562877400007,0.00021359727409991995,0.5066356589559883,2.2649769550961354
2.0,23,3.992164588539069,9.746328507005719e-05,0.5066356589559883,2.2649769550961354
2.0,24,4.388257184424518,4.41366521566306e-05,0.5066356589559883,2.2649769550961354
2.0,25,4.787825020572167,1.984902484312996e-05,0.5066356589559883,2.2649769550961354
2.0,26,5.190595419276104,8.869461482337915e-06,0.5066356589559883,2.2649769550961354
2.0,27,5.596326588388768,3.9398858231837715e-06,0.5066356589559883,2.2649769550961354
2.0,28,6.004803125099459,1.7405456753430705e-06,0.5066356589559883,2.2649769550961354
2.0,29,6.415832310539258,7.650151049648801e-07,0.5066356589559883,2.2649769550961354
2.0,30,6.829241032246454,3.34647632601473e-07,0.5066356589559883,2.2649769550961354
2.0,31,7.244873211660474,1.4573847909432267e-07,0.5066356589559883,2.2649769550961354
2.0,32,7.662587640090765,6.320509529002836e-08,0.5066356589559883,2.2649769550961354
2.0,33,8.082256147816919,2.7304401167622612e-08,0.5066356589559883,2.2649769550961354
2.0,34,8.503762046577139,1.1752148872181093e-08,0.5066356589559883,2.2649769550961354
2.0,35,8.926998797890246,5.040788932109323e-09,0.5066356589559883,2.2649769550961354
2.0,36,9.351868869016453,2.155068396849573e-09,0.5066356589559883,2.2649769550961354
4.0,2,1.3862943611198906,0.002149043664917174,0.2047746938395442,1.4166536736924336
4.0,3,1.5040773967762742,0.0013416373802013018,0.2047746938395442,1.4166536736924336
4.0,4,1.6739764335716716,0.0006799708471026994,0.2047746938395442,1.4166536736924336
4.0,5,1.6094379124341003,0.0008802482851500747,0.2047746938395442,1.4166536736924336
4.0,6,1.5040773967762742,0.0013416373802013018,0.2047746938395442,1.4166536736924336
4.0,7,1.3268709406490897,0.0027256764015110074,0.2047746938395442,1.4166536736924336
4.0,8,1.114360645636249,0.006377382827709301,0.2047746938395442,1.4166536736924336
4.0,9,0.8680886300562775,0.01707893547200014,0.2047746938395442,1.4166536736924336
4.0,10,0.5978370007556204,0.050342637276883755,0.2047746938395442,1.4166536736924336
4.0,11,0.30715417586460125,0.16102887185346745,0.2047746938395442,1.4166536736924336
4.0,12,0.0,0.5501551782187964,0.2047746938395442,1.4166536736924336
4.0,13,0.32113973864262707,0.152267893393342,0.2047746938395442,1.4166536736924336
4.0,14,0.6541305282174936,0.040192413856428584,0.2047746938395442,1.4166536736924336
4.0,15,0.9973585549629369,0.010183473496136183,0.2047746938395442,1.4166536736924336
4.0,16,1.3494925949539192,0.002489868756444343,0.2047746938395442,1.4166536736924336
4.0,17,1.7094554601025802,0.0005900066566063104,0.2047746938395442,1.4166536736924336
4.0,18,2.076350349110163,0.00013598631602212044,0.2047746938395442,1.4166536736924336
4.0,19,2.449427773023684,3.057689222183989e-05,0.2047746938395442,1.4166536736924336
4.0,20,2.8280529934969065,6.724406613219498e-06,0.2047746938395442,1.4166536736924336
