model,beta,k,selection_count,selection_probability,mean_residence,mean_final_occupancy
null,1.0,16,96,0.096,2.7276817603112224,0.09091233912844726
null,1.0,18,92,0.092,2.727075501070202,0.09089271032480938
null,1.0,20,95,0.095,2.7269598069592162,0.09088473967915142
null,1.0,22,96,0.096,2.727744577252351,0.09099662272464917
null,1.0,24,92,0.092,2.7275082673436444,0.09089767157793464
candidate_pair_residual,1.0,4,0,0.0,2.40882779504346,0.08001206642313168
candidate_pair_residual,1.0,6,0,0.0,2.523690151066633,0.08392492232451151
candidate_pair_residual,1.0,8,0,0.0,2.868224189937175,0.0955806049127873
candidate_pair_residual,1.0,10,0,0.0,3.5439180930114436,0.11858639187823102
candidate_pair_residual,1.0,12,1000,1.0,4.711161571690264,0.1586452449942026
candidate_pair_residual,1.0,14,0,0.0,3.456674164497175,0.11566967319823987
candidate_pair_residual,1.0,16,0,0.0,2.646735244794815,0.08809485897509473
candidate_pair_residual,1.0,18,0,0.0,2.1984538845659594,0.07293996898031829
candidate_pair_residual,1.0,20,0,0.0,1.9715866234889796,0.0652384160163597
candidate_pair_residual,1.0,22,0,0.0,1.861066298351217,0.061491332140761044
candidate_pair_residual,1.0,24,0,0.0,1.809661983552879,0.05981652015636192
control_shift_minus_1,1.0,4,0,0.0,2.246030118008719,0.07453372478025355
control_shift_minus_1,1.0,6,0,0.0,2.294918712356707,0.07625313456571013
control_shift_minus_1,1.0,8,0,0.0,2.5151273109274728,0.08363702360195117
control_shift_minus_1,1.0,10,0,0.0,2.972930406118493,0.09912464489242438
control_shift_minus_1,1.0,12,0,0.0,3.8215224933201366,0.12808184718266485
control_shift_minus_1,1.0,14,1000,1.0,4.423754386268472,0.14879951235038022
control_shift_minus_1,1.0,16,0,0.0,3.2260739193176025,0.10770888230550724
control_shift_minus_1,1.0,18,0,0.0,2.5150416972474847,0.08366098105915913
control_shift_minus_1,1.0,20,0,0.0,2.1440601380550692,0.07109831617088225
control_shift_minus_1,1.0,22,0,0.0,1.9629644380421276,0.0649857417501438
control_shift_minus_1,1.0,24,0,0.0,1.8775763803377163,0.06211619134092348
control_shift_plus_1,1.0,4,0,0.0,2.80110897105586,0.09335689320536876
control_shift_plus_1,1.0,6,0,0.0,2.956785352626104,0.0985921734815452
control_shift_plus_1,1.0,8,0,0.0,3.468425041120269,0.11599807411202649
control_shift_plus_1,1.0,10,1000,1.0,4.423410339277127,0.14858010259763488
control_shift_plus_1,1.0,12,0,0.0,3.7148177438601624,0.12456867285712565
control_shift_plus_1,1.0,14,0,0.0,2.8301700989498366,0.0943893091734161
control_shift_plus_1,1.0,16,0,0.0,2.303136192804583,0.07649957254762879
control_shift_plus_1,1.0,18,0,0.0,2.0225066364501263,0.06693551129291866
control_shift_plus_1,1.0,20,0,0.0,1.8822274329930906,0.06225162435508754
control_shift_plus_1,1.0,22,0,0.0,1.8144716481491086,0.05996150665705567
control_shift_plus_1,1.0,24,0,0.0,1.7829405427137435,0.05886655972019233
control_linear,1.0,4,498,0.498,4.635791118294036,0.15594796013425746
control_linear,1.0,6,502,0.502,4.636011846306756,0.15590739249723154
control_linear,1.0,8,0,0.0,3.4377361711114105,0.11496145775170698
control_linear,1.0,10,0,0.0,2.7054192361569136,0.09007988533060199
control_linear,1.0,12,0,0.0,2.3262748896301604,0.07717708960989023
control_linear,1.0,14,0,0.0,2.146069367546719,0.0711037109462187
control_linear,1.0,16,0,0.0,2.0636156602756484,0.06838442920386106
control_linear,1.0,18,0,0.0,2.0281426112805736,0.06716560893969022
control_linear,1.0,20,0,0.0,2.012385138871705,0.06661782484330915
control_linear,1.0,22,0,0.0,2.005924991726111,0.06638042270671111
control_linear,1.0,24,0,0.0,2.002628968799969,0.06627421803652127
control_cubic,1.0,4,0,0.0,2.024045481357705,0.06698887941984703
control_cubic,1.0,6,0,0.0,1.9878801896472793,0.06579838991883792
control_cubic,1.0,8,0,0.0,2.002285732003785,0.06628160652687941
control_cubic,1.0,10,0,0.0,2.0531352471166917,0.06799559367572058
control_cubic,1.0,12,0,0.0,2.155296498865852,0.07141262626926917
control_cubic,1.0,14,0,0.0,2.3492698738836366,0.07801695446052605
control_cubic,1.0,16,0,0.0,2.7124377336733385,0.09033975426782855
control_cubic,1.0,18,0,0.0,3.384815589481103,0.1132118925591314
control_cubic,1.0,20,1000,1.0,4.551982297508845,0.15325047621040386
control_cubic,1.0,22,0,0.0,3.87099041008622,0.12974445945408902
control_cubic,1.0,24,0,0.0,2.9078609463755427,0.09695936723746701
null,2.0,4,79,0.079,2.727915817263257,0.09091054813474063
null,2.0,6,95,0.095,2.7275433725239693,0.09095677217640619
null,2.0,8,80,0.08,2.726803750026227,0.09088320617392795
null,2.0,10,86,0.086,2.727475587930716,0.09089557332426998
null,2.0,12,92,0.092,2.727361681176361,0.0909053728282484
null,2.0,14,104,0.104,2.7273723663254725,0.09088632425259349
null,2.0,16,90,0.09,2.72672715261823,0.09090047906314114
null,2.0,18,93,0.093,2.7272349194321355,0.09090473996032344
null,2.0,20,85,0.085,2.727090118727,0.09091611306492861
null,2.0,22,97,0.097,2.726648962554228,0.09089628087497993
null,2.0,24,99,0.099,2.7278262714224266,0.09094459014643974
candidate_pair_residual,2.0,4,0,0.0,1.9437476744253297,0.0640567785356107
candidate_pair_residual,2.0,6,0,0.0,2.1350304874990953,0.07053892943117551
candidate_pair_residual,2.0,8,0,0.0,2.757980896723575,0.09158358539896852
candidate_pair_residual,2.0,10,0,0.0,4.208011322774407,0.14107973105593413
candidate_pair_residual,2.0,12,1000,1.0,7.422787320917796,0.25157635931935973
candidate_pair_residual,2.0,14,0,0.0,4.001999816308856,0.13391281957436318
candidate_pair_residual,2.0,16,0,0.0,2.346550384597894,0.07770640816151987
candidate_pair_residual,2.0,18,0,0.0,1.6198453738235274,0.05320636503544779
candidate_pair_residual,2.0,20,0,0.0,1.303004228072914,0.04263177886326182
candidate_pair_residual,2.0,22,0,0.0,1.1621947517079771,0.0379004247396906
candidate_pair_residual,2.0,24,0,0.0,1.098847743148614,0.035806819884668446
control_shift_minus_1,2.0,4,0,0.0,1.713709184915802,0.056403730955589274
control_shift_minus_1,2.0,6,0,0.0,1.787942042966557,0.058900518167850364
control_shift_minus_1,2.0,8,0,0.0,2.1496358128485205,0.07107411696372556
control_shift_minus_1,2.0,10,0,0.0,2.997817972018388,0.09979447578499767
control_shift_minus_1,2.0,12,0,0.0,4.958885619682384,0.16680913161859612
control_shift_minus_1,2.0,14,1000,1.0,6.644815498387411,0.2247447758615106
control_shift_minus_1,2.0,16,0,0.0,3.531520798491836,0.11803232910933066
control_shift_minus_1,2.0,18,0,0.0,2.1477900861715784,0.07097583449556111
control_shift_minus_1,2.0,20,0,0.0,1.5612792453912319,0.05128832037932257
control_shift_minus_1,2.0,22,0,0.0,1.3088336161446907,0.042848577840439446
control_shift_minus_1,2.0,24,0,0.0,1.1977701229816038,0.03912818882307687
control_shift_plus_1,2.0,4,0,0.0,2.6341978014078102,0.08744932614692187
control_shift_plus_1,2.0,6,0,0.0,2.9311655685440674,0.09749675836208535
control_shift_plus_1,2.0,8,0,0.0,4.037195541645236,0.13518942523789423
control_shift_plus_1,2.0,10,1000,1.0,6.559591181098368,0.2218902342020721
control_shift_plus_1,2.0,12,0,0.0,4.6316761824111135,0.15548536091139742
control_shift_plus_1,2.0,14,0,0.0,2.687697956116726,0.08922117574761591
control_shift_plus_1,2.0,16,0,0.0,1.7808905264159858,0.05862233521630346
control_shift_plus_1,2.0,18,0,0.0,1.3735795050284423,0.04497289935561853
control_shift_plus_1,2.0,20,0,0.0,1.190009404691692,0.03885080814824265
control_shift_plus_1,2.0,22,0,0.0,1.10610103732098,0.03603393685256028
control_shift_plus_1,2.0,24,0,0.0,1.0678952953196008,0.034787739819288344
control_linear,2.0,4,481,0.481,6.958981355142736,0.23522794625499238
control_linear,2.0,6,519,0.519,6.956267816130491,0.23544083406035735
control_linear,2.0,8,0,0.0,3.827274566312361,0.12779046305152147
control_linear,2.0,10,0,0.0,2.37232655657206,0.0783678490110035
control_linear,2.0,12,0,0.0,1.754780900844669,0.05762446557650835
control_linear,2.0,14,0,0.0,1.4940392548073569,0.048889339816416647
control_linear,2.0,16,0,0.0,1.3821335722556052,0.04516093175641954
control_linear,2.0,18,0,0.0,1.3345408471557352,0.04358029445057161
control_linear,2.0,20,0,0.0,1.313634767468778,0.04286960479457588
control_linear,2.0,22,0,0.0,1.3048918184097835,0.04257918285939566
control_linear,2.0,24,0,0.0,1.3011285449004133,0.04246908836823739
control_cubic,2.0,4,0,0.0,1.374875848473478,0.04501000540465443
control_cubic,2.0,6,0,0.0,1.327008198669508,0.04341442839290676
control_cubic,2.0,8,0,0.0,1.346166907785349,0.04406879837275402
control_cubic,2.0,10,0,0.0,1.4151941733999351,0.04636652038701144
control_cubic,2.0,12,0,0.0,1.559477132395049,0.05121254617617878
control_cubic,2.0,14,0,0.0,1.852148718408743,0.06103435738629182
control_cubic,2.0,16,0,0.0,2.469598166537701,0.08187834804186717
control_cubic,2.0,18,0,0.0,3.843937551110271,0.12856568641876365
control_cubic,2.0,20,1000,1.0,6.947157574929681,0.23507934084666018
control_cubic,2.0,22,0,0.0,5.025681377029346,0.16906349553797084
control_cubic,2.0,24,0,0.0,2.838754351260957,0.09430647303494091
null,4.0,4,96,0.096,2.727922162111821,0.09097004226666762
null,4.0,6,80,0.08,2.727826426081628,0.09092028909347737
null,4.0,8,94,0.094,2.727664168641057,0.09085949376955191
null,4.0,10,95,0.095,2.7270833033466846,0.09091334520374225
